,coordinates,count,lng,lat,max_dist
231,-70.51891745_-33.4254004,59632,-70.51891745,-33.4254004,18.797788195584697
232,-63.777971_-32.25103,59515,-63.777971,-32.25103,52.86365063430081
233,88.352242_22.6127055,59444,88.352242,22.6127055,63.61749794240679
234,-0.18429355_5.623198299999999,59413,-0.18429355,5.623198299999999,18.408009810322593
235,30.6808891_36.8900699,59262,30.6808891,36.8900699,19.249708832738886
236,-106.6327181_35.1170026,59137,-106.6327181,35.1170026,230.23905298633827
237,-123.12358100000002_49.257639,59122,-123.12358100000002,49.257639,7.3032547561774255
238,17.268140000000002_26.33263415,59042,17.268140000000002,26.33263415,0.0
239,-93.2620465_44.9706105,58965,-93.2620465,44.9706105,0.779237759976238
240,-100.2935915_25.64171855,58718,-100.2935915,25.64171855,29.703038210047023
241,-44.080922_-22.5243471,58614,-44.080922,-22.5243471,21.559479192984305
242,-84.5398123_39.13703785,58503,-84.5398123,39.13703785,3.45840885665911
243,-112.1246767_33.5528626,58280,-112.1246767,33.5528626,5.9002722231203535
244,-97.55216099999998_35.48284350000001,58201,-97.55216099999998,35.48284350000001,17.670653311365566
245,84.13302055000001_28.39084945,58014,84.13302055000001,28.39084945,0.0
246,-0.3525289_39.4224844,57891,-0.3525289,39.4224844,5.247922258331221
247,27.8575825_-33.02201395,57789,27.8575825,-33.02201395,179.94459481158108
248,82.93295549999999_25.3733755,57756,82.93295549999999,25.3733755,68.61892227290905
249,-4.6742507_37.8476005,57292,-4.6742507,37.8476005,50.48853161382954
250,9.3726797_53.67988630000001,57240,9.3726797,53.67988630000001,145.06220813005677
251,-100.29359149999999_25.64171855,57154,-100.2935915,25.64171855,4.537462469391394
252,-6.24762135_53.35490235,57137,-6.24762135,53.35490235,1.113451160937906
253,68.88915850000002_26.116357,57113,68.88915850000002,26.116357,195.10048727856562
254,125.44326145_7.317582699999999,57082,125.44326145,7.317582699999999,20.91059546570072
255,121.03321235_14.5464995,56731,121.03321235,14.5464995,5.839681264489027
256,-86.27053925000003_45.001180000000005,56688,-86.27053925000003,45.001180000000005,193.52796655207325
257,-89.92202900000001_35.13352055,56548,-89.92202900000001,35.13352055,4.8505184015189915
258,101.77018095_2.94905165,56348,101.77018095,2.94905165,2.2765765707634777
259,-86.24319335000001_15.201132499999998,56032,-86.24319335000001,15.201132499999998,0.0
260,51.14721785_25.18771895,55931,51.14721785,25.18771895,39.372586315624375
261,-68.0957225_-38.9528875,55770,-68.0957225,-38.9528875,168.01056176831344
262,-75.5496352988255_10.3904486513457,55753,-75.5496352988255,10.3904486513457,19.415864441732538
263,7.58292045_47.5598907,55738,7.58292045,47.5598907,68.78719322945078
264,-88.16155549999999_30.683649,55561,-88.16155549999999,30.683649,31.03352348907334
265,141.3612629955_43.10018949948025,55429,141.3612629955,43.10018949948025,37.66641999708827
266,-123.123581_49.257639,55306,-123.123581,49.257639,9.288354085079444
267,-57.606017750000014_-25.3002637,54959,-57.606017750000014,-25.3002637,5.261520901485903
268,-35.687112500000005_-9.5333295,54912,-35.687112500000005,-9.5333295,108.18541662227697
269,-60.8800215_-31.18911225,54857,-60.8800215,-31.18911225,0.0
270,121.561476_25.085756,54842,121.561476,25.085756,16.269037547886107
271,60.61363785_56.81553285,54840,60.61363785,56.81553285,301.7433613553591
272,-4.424031149999999_36.7648779,54703,-4.424031149999999,36.7648779,31.641273320566206
273,-73.723025_45.557830499999994,54697,-73.723025,45.5578305,0.0
274,-77.49317049999999_37.529883,54693,-77.49317049999999,37.529883,36.891610426745196
275,103.83698655000002_46.8580243,54678,103.83698655000002,46.8580243,627.3945532093103
276,-54.261875_-20.875327650000003,54657,-54.261875,-20.875327650000003,0.0
